datetime,currency,impact,event,actual,forecast,previous
2011-02-01 09:00:00+00:00,USD,2,ISM Manufacturing Employment,60.7,,58.2
2011-02-01 09:00:00+00:00,USD,2,ISM Non-Manufacturing Employment,51.9,,52.2
2011-02-01 09:00:00+00:00,USD,3,JOLTs Job Openings,2.92,,2.91
2011-02-01 09:00:00+00:00,USD,2,Michigan Consumer Expectations,68.2,,67.5
2011-02-01 09:00:00+00:00,USD,2,New Home Sales,-5.8,,13.6
2011-02-01 09:00:00+00:00,USD,2,Philly Fed Employment,13.4,,4.3
2011-02-01 09:00:00+00:00,CAD,2,Core CPI,1.4,,1.5
2011-02-01 09:00:00+00:00,CHF,2,KOF Leading Indicators,101.4,,102.4
2011-02-01 09:00:00+00:00,CHF,2,Unemployment Rate n.s.a.,3.4,,3.4
2011-02-01 09:00:00+00:00,EUR,2,German ZEW Current Conditions,82.8,,82.6
2011-02-01 09:00:00+00:00,AUD,2,Full Employment Change,-10.9,,0.8
2011-02-01 09:00:00+00:00,JPY,2,Current Account n.s.a.,0.66,,1.35
2011-02-01 09:00:00+00:00,JPY,2,Exports,1.4,,12.9
2011-02-01 09:00:00+00:00,JPY,2,Household Spending,0.6,,-1.6
2011-02-01 09:00:00+00:00,JPY,2,Jobs/applications ratio,0.6,,0.59
2011-02-01 09:00:00+00:00,JPY,2,Trade Balance,-497.2,,719.6
2011-02-01 09:00:00+00:00,CNY,2,CPI,1,,0.5
2011-02-01 09:00:00+00:00,CNY,2,Exports,37.6,,17.9
2011-02-01 09:00:00+00:00,CNY,2,Imports,51.6,,25.6
2011-02-01 09:00:00+00:00,CNY,3,Manufacturing PMI,52.9,,53.9
2011-02-01 09:00:00+00:00,CNY,2,New Loans,1040,,480.7
2011-02-01 09:00:00+00:00,CNY,2,Non-Manufacturing PMI,57.2,,58.8
2011-02-01 09:00:00+00:00,CNY,2,PBoC Deposit Rate,2.75,,2.55
2011-02-01 09:00:00+00:00,CNY,2,PBoC Reserve Requirement Ratio,18.69,,18.22
2011-02-01 09:00:00+00:00,NZD,2,Electronic Card Retail Sales,0.7,,0.6
2011-02-01 09:00:00+00:00,NZD,2,Trade Balance,910,,1.170.00
2011-02-01 09:00:00+00:00,EUR,2,CPI,-0.7,,0.6
2011-02-01 09:00:00+00:00,EUR,2,Manufacturing PMI,57.3,56.90,56.9
2011-02-01 09:30:00+00:00,GBP,3,Manufacturing PMI,62,58.10,"vised From 58.3>58.7                              """
2011-02-01 10:00:00+00:00,EUR,2,Unemployment Rate,10,10.10,vised From 10.1
